"","x"
"cp50_1","kłopoty:zwracam się o radę i pomoc do innych ludzi"
"cp50_2","kłopoty:mobilizuję się i przystępuję do działania"
"cp50_3","kłopoty:sięgam po alkohol"
"cp50_4","kłopoty:pocieszam się myślą, że mogło być jeszcze gorzej, lub że innym jest jeszcze gorzej"
"cp50_5","kłopoty:poddaję się, niewiemco robić"
"cp50_6","kłopoty:zażywam środki uspokajające"
"cp50_7","kłopoty:modlę się o pomoc do Boga"
"cp50_8","kłopoty:zajmuję się innymi rzeczami, które odwracają moją uwagę i poprawiają nastrój"
"cp51","Czy czuje się Pan osamotniony, mimo że tego nie chce?"
"cp52_n","N.kategorie odczuć i zachowań: WYGLĄD"
"cp52_o","O.kategorie odczuć i zachowań: ZAPAŁ DO PRACY"
"cp52_p","P.kategorie odczuć i zachowań: SEN"
"cp52_q","Q.kategorie odczuć i zachowań: MĘCZLIWOŚĆ"
"cp52_r","R.kategorie odczuć i zachowań: APETYT"
"cp52_t","T.kategorie odczuć i zachowań: ZDROWIE"
"cp52_u","U.kategorie odczuć i zachowań: SEKS"
"cp53_1","utrzymanie porządku w społeczeństwie"
"cp53_2","stworzenie większych możliwości swobodnego wypowiadania poglądów"
"cp53_3","przeciwdziałanie wzrostowi cen"
"cp53_4","stworzenie ludziom większych możliwości wpływania na decyzje władz"
"cp54_1","Podziwiam ludzi, którzymają drogie domy, samochody i ubrania"
"cp54_2","Nie przywiązuję większej wagi do dóbr materialnych"
"cp54_3","Miarą życiowego sukcesu jest stan posiadania różnych dóbr materialnych"
"cp54_4","Lubię mieć rzeczy, których inni moglibymi zazdrościć"
"cp54_5","Lubię kupować rzeczy, które nie mają praktycznego znaczenia"
"cp54_6","Samo robienie zakupów sprawia mi prawdziwą przyjemność"
"cp54_7","Mam bardzo dużo energii w sobie"
"cp54_8","Z niecierpliwością czekam, co przyniesie każdy kolejny dzień"
"cp54_9","Niektórzy ludzie są więcej warci od innych"
"cp54_10","Widealnym świecie wszystkie narody powinny być sobie równe"
"cp54_11","Niektóre grupy społeczne nie zasługują na szacunek"
"cp54_12","Powinniśmy dążyć do tego, aby dochodywszystkich ludzi byływ miarę wyrównane"
"cp54_13","Gdybywszyscy Polacy byli równo traktowani, mielibyśmymniej problemów w kraju"
"cp55_1","somatyka - silne bóle głowy"
"cp55_2","somatyka - bóle brzucha lub wzdęcia"
"cp55_3","somatyka - ból albo napięcie mięśni karku i ramion"
"cp55_4","somatyka - bóle w klatce piersiowej lub sercu"
"cp55_5","somatyka - suchość w ustach lub gardle"
"cp55_6","somatyka - napady pocenia się"
"cp55_7","somatyka - uczucie duszności"
"cp55_8","somatyka łamanie i bóle w całym ciele"
"cp55_9","somatyka - gwałtowne bicie serca (palpitacje)"
"cp55_10","somatyka - dreszcze lub drgawki"
"cp55_11","somatyka - uczucie parcia na pęcherz i częstsze oddawanie moczu"
"cp55_12","somattyka - uczucie zmęczenia nie związanego z pracą"
"cp55_13","somatyka - zaparcia"
"cp55_14","somatyka - krwawienie z nosa"
"cp55_15","somatyka - gwałtowne skoki ciśnienia krwi"
"cp56","Jakie wykształcenie miał OJCIEC"
"cp57","Czy Pana zdaniem reformy w Polsce po 1989 roku udały się ogólnie, czy raczej nie udały?"
"cp58","Czy zmiany, jakie zaszły w Polsce od 1989 r. miały wpływ na Pana życie?"
"cp59","czy ogólnie rzecz biorąc ten wpływ był raczej korzystny czy raczej niekorzystny?"
"cp60","Czy pali Pan papierosy?"
"cp61","ile przeciętne sztuk papierosów dziennie Pan wypala?"
"cp62","czy kiedykolwiek w życiu palił Pan papierosy?"
"cp63","zapłacić od razu 200 zł lub rzucać monetą"
"cp64","Czy miniony rok należał w Pana życiu do udanych ?"
"cp66","Czy w ciągu ostatnich dwóch lat zdarzyło się, że angażował się Pan w działania na rzecz społeczności lokalnej"
"cp67_1","zadowolenie ze swoich stosunków z najbliższymi w rodzinie"
"cp67_2","zadowolenie z sytuacji finansowej własnej rodziny"
"cp67_3","zadowolenie ze stosunków z kolegami (grupą przyjaciół)"
"cp67_4","zadowolenie z obecnych dochodów rodziny"
"cp67_5","zadowolenie z możliwości zaspokojenia potrzeb żywnościowych"
"cp67_6","zadowolenie ze stanu swojego zdrowia"
"cp67_7","zadowolenie ze swoich osiągnięć życiowych"
"cp67_8","zadowolenie z sytuacji w kraju"
"cp67_9","zadowolenie z warunków mieszkaniowych"
"cp67_10","zadowolenie z miejscowości, w której Pan żyje"
"cp67_11","zadowolenie z poziomu dostępnych dóbr i usług"
"cp67_12","zadowolenie z perspektyw na przyszłość"
"cp67_13","zadowolenie z życia seksualnego"
"cp67_14","zadowolenie ze swego wykształcenia"
"cp67_15","zadowolenie ze sposobu spędzania wolnego czasu"
"cp67_16","zadowolenie z norm moralnych panujących w otoczeniu"
"cp67_17","zadowolenie z pracy"
"cp67_18","zadowolenie z dzieci"
"cp67_19","zadowolenie z małżeństwa"
"cp67_20","zadowolenie ze stanu bezpieczeństwa w miejscu zamieszkania"
"cp67_21","zadowolenie z opieki zdrowotnej blisko miejsca zamieszkania"
"cp67_22","zadowolenie ze swojego uczestnictwa w kulturze"
"cp68","Czy w ostatnim roku był Pan na jakimś zebraniu publicznym?"
"cp69","czy na takim zebraniu zabrał Pan głos w jakiejś sprawie?"
"cp70","można ufać większości ludzi, czy też w postępowaniu z ludźmi ostrożności nigdy za wiele?"
"cp71_1","Być kimś powszechnie znanym i podziwianym"
"cp71_2","Móc robić w życiu tylko to, na co mam ochotę"
"cp71_3","Odnieść sukces finansowy"
"cp71_4","Zyskiwać przyjaciół"
"cp71_5","Pomagać potrzebującym"
"cp71_6","Dobrze, atrakcyjnie wyglądać"
"cp72_1","Ile dobrego zrobili Panu inni ludzie?"
"cp72_2","Ile złego zrobili Panu inni ludzie?"
"cp72_3","Ile dobrego zrobił Pan innym ludziom?"
"cp72_4","Ile złego zrobił Pan innym ludziom?"
"cp73","Czy uważa Pan, że członkostwo Polski w Unii Europejskiej jest"
"cp74","Czy używa Pan komputera?"
"cp75_1","ktoś płaci podatki mniejsze niż powinien"
"cp75_2","ktoś unika płacenia za korzystanie z transportu publicznego"
"cp75_3","komuś udaje się nie płacić za światło"
"cp75_4","ktoś pobiera niesłusznie zasiłek dla bezrobotnych"
"cp75_5","ktoś nie płaci (choć może) czynszu za mieszkanie"
"cp75_6","ktoś płaci ekstra, aby szybciej dostać się do lekarza czy szpitala"
"cp75_7","radny nie przychodzi na swoje dyżury"
"cp75_8","ktoś sprowadza towary z zagranicy i nie płaci cła"
"cp76","Czy wejście Polski doUnii Europejskiejmiałowpływna życie Pana i Pana rodziny?"
"cp77","czy ten wpływ był raczej korzystny czy raczej niekorzystny?"
"cp78","korzystałem z porad psychologa (psychiatry)"
"cp79","piłem za dużo alkoholu"
"cp80","próbowałem narkotyków"
"cp81","zmarł ktoś bliski mi"
"cp82","nie mogłem znaleźć pracy po ukończeniu szkoły"
"cp83","zostałem przeniesiony na gorsze stanowisko"
"cp84","ominął mnie awans zawodowy"
"cp85","awansowałem"
"cp86","miałem poważne problemy z szefem"
"cp87","otworzyłem własny interes, założyłem firmę"
"cp88","na prowadzonych interesach straciłem dużo pieniędzy"
"cp89","z konieczności podjąłem pracę niezgodną z kwalifikacjami"
"cp90","okradziono mnie"
"cp91","zostałem napadnięty i pobity"
"cp92","włamano się do mojego domu lub samochodu"
"cp93","oskarżono mnie o dokonanie czynu, za który grozi kara więzienia lub grzywna"
"cp94","byłem zatrzymany przez policję"
"cp95","zostałem oskarżonyw sprawie cywilnej"
"cp96","bliska osoba została aresztowana lub miała kłopoty z prawem"
"cp97","byłem dyskryminowany ze względu na narodowość, wygląd, przekonania lub z innych powodów"
"cp98","moje mieszkanie (dom) zostało poważenie zniszczone"
"cp99","przeprowadzony został remont mojego mieszkania (domu)"
"cp100","miałem kłopoty z właścicielem lub zarządcą budynku, w którym mieszkam (mieszkałem)"
"cp101","poważnie chorowałem"
"cp102","Które z podanych stwierdzeń o demokracji jest Panu najbliższe?"
"cp103","Czy jest Pan członkiem jakichś organizacji, stowarzyszeń, partii, komitetów, rad, grup religijnych, związków lub kół?"
"cp104","czy pełnił Pan kiedykolwiek jakieś funkcje w takich organizacjach?"
"cp105_1","dla ogółu:ktoś z miejscowych władz"
"cp105_2","dla ogółu:ksiądz, parafia"
"cp105_3","dla ogółu:nauczyciele, szkoła"
"cp105_4","dla ogółu:właściciel firmy, miejscowy biznesmen"
"cp105_5","dla ogółu:ja sam"
"cp105_6","dla ogółu:organizacje społeczne, stowarzyszenia"
"cp105_7","dla ogółu:dziennikarze"
"cp105_8","dla ogółu:inne osoby"
"cp105_9","dla ogółu:nie wiem"
"cp105_10","dla ogółu:nikt nie robi niczego dla ogółu"
"cp106","dochód miesięczny netto (na rękę) średnio z ostatnich trzech miesięcy wyniósł"
"cp107","Jakiego dochodu miesięcznie netto (na rękę) spodziewa się Pan za dwa lata?"
"cp108","Co w 1989 roku należało w Polsce zrobić"
"cp109","Czy wziął Pan udział w referendum w sprawie przystąpienia Polski do Unii Europejskiej"
"cp110","czy głosował Pan za czy przeciw przystąpieniu Polski do Unii Europejskiej?"
"cp111","Czy używa Pan telefonu komórkowego (którego jest Pan głównym posiadaczem)?"
"cp112_1","regularne kontakty:z najbliższej rodziny"
"cp112_2","regularne kontakty:spośród przyjaciół"
"cp112_3","regularne kontakty:spośród znajomych"
"cp113","Ile spośród wszystkich tych osób mieszka blisko Pana (wtej samejmiejscowości lub do 10 km)?"
"cp114","Ile spośród tych osób mieszka za granicą?"
"cp115","Ile czasu poświęcał Pan przeciętnie dziennie w minionym tygodniu na oglądanie telewizji"
"cp116_1","telewiza zabiera czas na:czytanie prasy (gazet i czasopism)"
"cp116_2","telewiza zabiera czas na:czytanie książek"
"cp116_3","telewiza zabiera czas na:chodzenie na imprezy sportowe"
"cp116_4","telewiza zabiera czas na:kontakty z rodziną"
"cp116_5","telewiza zabiera czas na:kontakty z przyjaciółmi i znajomymi"
"cp116_6","telewiza zabiera czas na:chodzenie do kina"
"cp116_7","telewiza zabiera czas na:chodzenie do teatru, opery, operetki"
"cp116_8","telewiza zabiera czas na:chodzenie do muzeów lub na wystawy"
"cp116_9","telewiza zabiera czas na:słuchanie radia"
"cp116_10","telewiza zabiera czas na:chodzenie na koncerty"
"cp116_11","telewiza zabiera czas na:obowiązki domowe"
"cp116_12","telewiza zabiera czas na:pracę zawodową"
"cp117","Czy uczestniczy Pan w jakimś dodatkowym zabezpieczeniu emerytalnym?"
"cp118","w jakim Pan uczestniczy"
"cp119","czy zamierza Pan uczestniczyć w jakimś dodatkowym zabezpieczeniu emerytalnym?"
"cp120","w jakiej formie?"
"cp121","Czy korzysta Pan z jakiegoś ubezpieczenia grupowego zawieranego za pośrednictwem zakładu pracy?"
"cp122_1","kto płaci za składkę:na życie"
"cp122_2","kto płaci za składkę:na życie z funduszem inwestycyjnym/kapitałowym"
"cp122_3","kto płaci za składkę:od następstw nieszczęśliwych wypadków"
"cp122_4","kto płaci za składkę:OC z tytułu wykonywanego zawodu"
"cp123_1","wybór OFE:reklamą danego funduszu"
"cp123_2","wybór OFE:zaufaniem do danego funduszu"
"cp123_3","wybór OFE:niskimi opłatami na rzecz funduszu"
"cp123_4","wybór OFE:radą kogoś z rodzinylub ze znajomych"
"cp123_5","wybór OFE:informacjami akwizytora reprezentującego dany fundusz"
"cp123_6","wybór OFE:dotychczasowymi wynikami inwestycyjnymi funduszu"
"cp123_7","wybór OFE:innymi względami"
"cp123_8","wybór OFE:NIEWYBIERAŁEM"
"cp124","Jak ocenia Pan swoje umiejętności posługiwania się komputerem?"
"cp125","Ile godzin w ostatnim tygodniu spędził Pan przy komputerze?"
"cp126","Czy kiedykolwiek korzystał Pan z Internetu lub poczty elektronicznej (e-mail)?"
"cp127_1","korzysta z komputera:w pracy"
"cp127_2","korzysta z komputera:w domu"
"cp127_3","korzysta z komputera:w szkole/ na uczelni"
"cp127_4","korzysta z komputera:w kawiarence internetowej/ klubie"
"cp127_5","korzysta z komputera:u znajomych/ rodziny"
"cp127_6","korzysta z komputera:w innym miejscu"
"cp128_1","korzystanie z komputera zmieniło ilość czasu:pracę w domu"
"cp128_2","korzystanie z komputera zmieniło ilość czasu:czytanie prasy (gazet i czasopism)"
"cp128_3","korzystanie z komputera zmieniło ilość czasu:oglądanie telewizji"
"cp128_4","korzystanie z komputera zmieniło ilość czasu:czytanie książek"
"cp128_5","korzystanie z komputera zmieniło ilość czasu:kontakty z rodziną"
"cp128_6","korzystanie z komputera zmieniło ilość czasu:kontakty z przyjaciółmi i znajomymi"
"cp128_7","korzystanie z komputera zmieniło ilość czasu:chodzenie do kina"
"cp128_8","korzystanie z komputera zmieniło ilość czasu:chodzenie do teatru, opery, operetki"
"cp128_9","korzystanie z komputera zmieniło ilość czasu:chodzenie do muzeów lub na wystawy"
"cp128_10","korzystanie z komputera zmieniło ilość czasu:słuchanie radia"
"cp128_11","korzystanie z komputera zmieniło ilość czasu:chodzenie na koncerty"
"cp129","Kiedy zaczęła Pani korzystać z Internetu? (proszę podać rok)"
"cp130","Ile godzin w ostatnim tygodniu korzystała Pani z Internetu?"
"cp131_1","korzysta z Internetu:w pracy"
"cp131_2","korzysta z Internetu:w domu"
"cp131_3","korzysta z Internetu:w szkole/ na uczelni"
"cp131_4","korzysta z Internetu:w kawiarence internetowej/ klubie"
"cp131_5","korzysta z Internetu:u znajomych/ rodziny"
"cp131_6","korzysta z Internetu:w innym miejscu"
"cp132k1","kontakt:internet:kiedykolwiek:rodzina"
"cp132k2","kontakt:internet:kiedykolwiek:osoby, z którymi pracuję"
"cp132k3","kontakt:internet:kiedykolwiek:znajomi, przyjaciele, z którymi mam kontakt także poza Internetem"
"cp132k4","kontakt:internet:kiedykolwiek:osoby, z którymi nie mam teraz bezpośredniego kontaktu"
"cp132k5","kontakt:internet:kiedykolwiek:osoby poznane przez Internet"
"cp132k6","kontakt:internet:kiedykolwiek:osoby o podobnych zainteresowaniach"
"cp132k7","kontakt:internet:kiedykolwiek:sympatia"
"cp132o1","kontakt:internet:ostatnio:rodzina"
"cp132o2","kontakt:internet:ostatnio:osoby, z którymi pracuję"
"cp132o3","kontakt:internet:ostatnio:znajomi, przyjaciele, z którymi mam kontakt także poza Internetem"
"cp132o4","kontakt:internet:ostatnio:osoby, z którymi nie mam teraz bezpośredniego kontaktu"
"cp132o5","kontakt:internet:ostatnio:osoby poznane przez Internet"
"cp132o6","kontakt:internet:ostatnio:osoby o podobnych zainteresowaniach"
"cp132o7","kontakt:internet:ostatnio:sympatia"
"cp133","Czy kiedykolwiek spotkała się Pani osobiście z osobami poznanymi przez Internet?"
"cp134k1","kiedykolwiek:sprawdzanie i wysyłanie poczty elektronicznej (e-mail)"
"cp134k10","kiedykolwiek:szukanie pracy, wysyłanie ofert dotyczących zatrudnienia"
"cp134k11","kiedykolwiek:kupowanie produktów przez Internet"
"cp134k12","kiedykolwiek:korzystanie z banku przez Internet"
"cp134k13","kiedykolwiek:płacenie rachunków przez Internet"
"cp134k14","kiedykolwiek:uczestniczenie w aukcjach Internetowych"
"cp134k15","kiedykolwiek:granie w gry sieciowe przez Internet"
"cp134k16","kiedykolwiek:ściąganie darmowego oprogramowania"
"cp134k17","kiedykolwiek:ściąganie darmowej muzyki, filmów"
"cp134k18","kiedykolwiek:tworzenie lub modyfikowanie własnej stronyWWWlub bloga."
"cp134k19","kiedykolwiek:tworzenie i publikowanie własnych tekstów, grafiki, muzyki lub innej twórczości w Internecie"
"cp134k2","kiedykolwiek:korzystanie z komunikatorów umożliwiających rozmowy ze znajomymi"
"cp134k20","kiedykolwiek:uzyskiwanie informacji ze stron internetowych instytucji publicznych, urzędów"
"cp134k21","kiedykolwiek:pobieranie lub wypełnianie formularzy urzędowych"
"cp134k22","kiedykolwiek:słuchanie muzyki lub radia przez Internet"
"cp134k23","kiedykolwiek:oglądanie telewizji przez Internet"
"cp134k24","kiedykolwiek:korzystanie z Internetu i poczty elektronicznej z komputera domowego w celach zawodowych"
"cp134k3","kiedykolwiek:uczestniczenie w czatach"
"cp134k4","kiedykolwiek:uczestniczenie w grupach lub forach dyskusyjnych"
"cp134k5","kiedykolwiek:telefonowanie przez Internet (VoIP, Skype),"
"cp134k6","kiedykolwiek:odbywanie wideokonferencji"
"cp134k7","kiedykolwiek:przeglądanie stronWWW"
"cp134k8","kiedykolwiek:zbieranie materiałów potrzebnych do nauki lub pracy"
"cp134k9","kiedykolwiek:uczestniczenie w kursach lub szkoleniach przez internet"
"cp134o1","ostatnio:sprawdzanie i wysyłanie poczty elektronicznej (e-mail)"
"cp134o10","ostatnio:szukanie pracy, wysyłanie ofert dotyczących zatrudnienia"
"cp134o11","ostatnio:kupowanie produktów przez Internet"
"cp134o12","ostatnio:korzystanie z banku przez Internet"
"cp134o13","ostatnio:płacenie rachunków przez Internet"
"cp134o14","ostatnio:uczestniczenie w aukcjach Internetowych"
"cp134o15","ostatnio:granie w gry sieciowe przez Internet"
"cp134o16","ostatnio:ściąganie darmowego oprogramowania"
"cp134o17","ostatnio:ściąganie darmowej muzyki, filmów"
"cp134o18","ostatnio:tworzenie lub modyfikowanie własnej stronyWWWlub bloga."
"cp134o19","ostatnio:tworzenie i publikowanie własnych tekstów, grafiki, muzyki lub innej twórczości w Internecie"
"cp134o2","ostatnio:korzystanie z komunikatorów umożliwiających rozmowy ze znajomymi"
"cp134o20","ostatnio:uzyskiwanie informacji ze stron internetowych instytucji publicznych, urzędów"
"cp134o21","ostatnio:pobieranie lub wypełnianie formularzy urzędowych"
"cp134o22","ostatnio:słuchanie muzyki lub radia przez Internet"
"cp134o23","ostatnio:oglądanie telewizji przez Internet"
"cp134o24","ostatnio:korzystanie z Internetu i poczty elektronicznej z komputera domowego w celach zawodowych"
"cp134o3","ostatnio:uczestniczenie w czatach"
"cp134o4","ostatnio:uczestniczenie w grupach lub forach dyskusyjnych"
"cp134o5","ostatnio:telefonowanie przez Internet (VoIP, Skype),"
"cp134o6","ostatnio:odbywanie wideokonferencji"
"cp134o7","ostatnio:przeglądanie stronWWW"
"cp134o8","ostatnio:zbieranie materiałów potrzebnych do nauki lub pracy"
"cp134o9","ostatnio:uczestniczenie w kursach lub szkoleniach przez internet"
"cp135","Od kiedy posiada Pan telefon komórkowy"
"cp137","Od jak dawna ma Pan telefon, którego obecnie Pan używa (ostanio nabyty)?"
"cp138","ile razy w jednym dniu w okresie minionego tygodnia dzwonił Pan ze swojego telefonu komórkowego do innych osób?"
"cp139_1","ile razy dzwonił do:członków Pana gospodarstwa domowego"
"cp139_2","ile razy dzwonił do:rodziny"
"cp139_3","ile razy dzwonił do:przyjaciół"
"cp139_4","ile razy dzwonił do:współpracowników"
"cp139_5","ile razy dzwonił do:innych osób"
"cp140_1","Czy wysyła SMS-y"
"cp140_2","Czy wysyła MMS-y"
"cp141","ile wiadomości SMS lub MMS wysyłał Pan przeciętnie dziennie w okresie minionego tygodnia używając swojego telefonu komórkowego?"
"cp142_1","wiadomości do:członków Pana gospodarstwa domowego"
"cp142_2","wiadomości do:rodziny"
"cp142_3","wiadomości do:przyjaciół"
"cp142_4","wiadomości do:współpracowników"
"cp142_5","wiadomości do:innych osób"
"dc3","Stopień pokrewieństwa z głową gospodarstwa"
"dc4","Numer rodziny                             "
"dc5","Stopień pokrewieństwa z głową rodziny     "
"dc10","Stan cywilny                              "
"dc13","Kierunek ukończonego wykształcenia        "
"dc14","Status edukacyjny                         "
"dc15","1.Rodzaj usługi edukacyjnej               "
"dc16","2.Rodzaj usługi edukacyjnej               "
"dc17","Prawo jazdy                               "
"dc18","Język:angielski                           "
"dc19","Język:niemiecki                           "
"dc20","Język:francuski                           "
"dc21","Język:rosyjski                            "
"dc22","Język:hiszpański                          "
"dc23","Język:inny                                "
"dc24","Czy ma telefon komórkowy                  "
"dc25","z jakiego operatora korzysta              "
"dc26","Niepełnosprawność                         "
"dc27","Źródło utrzymania:główne                  "
"dc28","Źródło utrzymania:dodatkowe 1             "
"dc29","Źródło utrzymania:dodatkowe 2             "
"dc30","Status obecności osoby w gospodarstwie    "
"dc31","Przyczyny czasowej nieobecności           "
"dc32","Status członkostwa osoby w gosp.          "
"dc33","data przybycia                            "
"dc34","data opuszczenia                          "
"dc35","przyczyna przybycia                       "
"dc36","przyczyna opuszczenia                     "
"dd2","Czy w ciągu ostatnich 7 dni osoba wykonywała pracę przynoszącą zarobek, dochód lub pomagała nieodpłatnie w rodzinnej działalności gospodarczej? "
"dd3","Czy w ciągu ostatnich 7 dni osoba miała pracę jako pracownik najemny, pracujący na własny rachunek lub pomagający nieodpłatnie w rodzinnej działalności gospodarczej, ale jej czasowo nie wykonywała?"
"dd4","Ile godzin pracowała osoba w ciągu ostatnich 7 dni? "
"dd5","Jaki rodzaj pracy wykonuje osoba w swoim głównym miejscu pracy? "
"dd6","Czy jest to praca w pełnym wymiarze? "
"dd7","Dlaczego osoba pracuje w niepełnym wymiarze czasu pracy? "
"dd8","Czy osoba poszukiwała pracy w ciągu ostatnich 4 tygodni? "
"dd9","Dlaczego nie poszukuje pracy? "
"dd10","Czy jest gotowa do podjęcia pracy w tym lub następnym tygodniu? "
"dd11","Czy osoba jest zarejestrowana w urzędzie pracy? "
"dd12","Jak długo osoba pozostaje obecnie bez pracy? "
"dd13","Czy otrzymuje zasiłek dla bezrobotnych? "
"dd14","Własność instytucji, w której osoba pracuje jako w głównym miejscu pracy "
"dd15","Własność instytucji, w której osoba pracuje jako w dodatkowym miejscu pracy "
"dd16","Czy główne miejsce pracy znajduje się w miejscowości zamieszkania? "
"dd17","Zawód obecnie wykonywany "
"dd18","Zawód wykonywany w ostatnim miejscu pracy "
"dd19","Czy osoba była w ostatnich 2 latach zarejestrowana w urzędzie pracy? "
"dd20","Ile razy osoba była zarejestrowana w urzędzie pracy w ostatnich 2 latach? "
"dd21","Jak długo łącznie w ostatnich 2 latach osoba pozostawała bez pracy? "
"dd22","Czy osoba uczestniczyła w jakiejkolwiek aktywności związanej z podnoszeniem swoich kwalifikacji zawodowych czy innych umiejętności w ciągu ostatnich 2 lat "
"dd23","1.rodzaj aktywności edukacyjnej "
"dd24","2.rodzaj aktywności edukacyjnej "
"dd25","3.rodzaj aktywności edukacyjnej "
"dd26","Czy osoba pracowała za granicą w okresie 2005-2007? "
"dd27","Czy osoba uczyła się za granicą w okresie 2005-2007? "
"dd28","Ile razy wyjeżdżała za granicę i tam pracowała lub uczyła się w okresie 2005-2007? "
"dd29","1.W jakich krajach pracowała lub uczyła się? "
"dd30","2.W jakich krajach pracowała lub uczyła się? "
"dd31","łączny czas pracy za granicą w latach 2005-2007 "
"dd32","łączny czas nauki za granicą w latach 2005-2007 "
"dd33","Jaki łącznie staż pracy ma osoba? "
"dd34","Jak długo osoba pracuje u obecnego głównego pracodawcy "
"dd35","W ilu miejscach pracy osoba pracowała w latach 2000-2007? "
"dp2_1","warunek udanego życia: PIENIĄDZE"
"dp2_2","warunek udanego życia: DZIECI"
"dp2_3","warunek udanego życia: UDANE MAŁŻEŃSTWO"
"dp2_4","warunek udanego życia: PRACA"
"dp2_5","warunek udanego życia: PRZYJACIELE"
"dp2_6","warunek udanego życia: OPATRZNOŚĆ, BÓG"
"dp2_7","warunek udanego życia: POGODA DUCHA, OPTYMIZM"
"dp2_8","warunek udanego życia: UCZCIWOŚĆ"
"dp2_9","warunek udanego życia: ŻYCZLIWOŚĆ I SZACUNEK OTOCZENIA"
"dp2_10","warunek udanego życia: WOLNOŚĆ, SWOBODA"
"dp2_11","warunek udanego życia: ZDROWIE"
"dp2_12","warunek udanego życia: WYKSZTAŁCENIE"
"dp2_13","warunek udanego życia: SILNY CHARAKTER"
"dp2_14","warunek udanego życia: INNE"
"dp3","Ocena całego dotychczasowego życia"
"dp4","Kiedy żyło się Pani łatwiej - przed 1989 rokiem czy obecnie?"
"dp5","Oczekiwania męża wobec Pani były tak duże, że nie mogła im Pani sprostać"
"dp6","Mąż wydawał wspólne pieniądze w sposób zbyt rozrzutny"
"dp7","Problemy i kłopoty męża przysparzały zmartwień i utrudniały Pani życie"
"dp8","Wątpiła Pani, czy własne dziecko/dzieci są wystarczająco pracowite i twarde, aby dać sobie radę w życiu"
"dp9","Musiała Pani wysłuchiwać skarg na swoje dziecko/dzieci (np. w szkole, od sąsiadów, od innych rodziców)"
"dp10","Poniosła Pani jakieś koszty w związku z tym, co zrobiło Pani dziecko"
"dp11","Dziecko lekceważyło sobie i odrzucało Pani pomoc, rady i wskazówki"
"dp12","Czuła Pani, że traci wpływ na swoje dziecko/dzieci"
"dp13","Miała Pani zbyt mało czasu dla swojego dziecka"
"dp14","Czuła się Pani odpowiedzialna za zapewnienie opieki i dobre samopoczucie rodziców lub starszych krewnych"
"dp15","Niepokoił Panią stan zdrowia lub sprawność umysłu któregoś z rodziców lub jakiegoś starszego krewnego"
"dp16","Problemy i kłopoty rodziców, teściów lub innych krewnych w podeszłym wieku przysparzały zmartwień i utrudniały Pani życie"
"dp17","Czuła Pani, że Pani źródło dochodów jest niestałe i niepewne"
"dp18","Problemy i kłopoty finansowe przysparzały zmartwień i utrudniały Pani życie"
"dp19","Czuła Pani, że Pani praca jest zbyt uciążliwa, brudna lub niebezpieczna"
"dp20","Odczuwała Pani nadmiar obowiązków w pracy, którym nie mogła podołać"
"dp21","Była Pani traktowana niesprawiedliwie przez innych w pracy"
"dp22","Odczuwała Pani nadmierne zatłoczenie w miejscu zamieszkania, np. że za dużo osób mieszka w Pani mieszkaniu, w klatce schodowej, w całym budynku"
"dp23","Obawiała się Pani przestępczości, narkomanii, chuligaństwa w swojej dzielnicy, osiedlu, okolicy"
"dp24","Problemy związane z sąsiadami lub innymi ludźmi z okolicy zatruwały Pani życie"
"dp25","Odczuwała Pani dolegliwości fizyczne, takie na przykład jak łamanie w kościach, trudności z oddychaniem itp., które utrudniały Pani wychodzenie z domu, chodzenie po schodach itp."
"dp26","Problemy ze zdrowiem utrudniały Pani wykonywanie codziennych zajęć lub branie udziału w innych zajęciach"
"dp27","Załatwiała Pani jakąś sprawę urzędową"
"dp28","Nie mogła Pani sprawnie, szybko i bez trudności załatwić jakiejś sprawy urzędowej"
"dp29","Musiała Pani szukać znajomości lub innych sposobów, aby załatwić jakąś sprawę urzędową"
"dp30","Czuła się Pani całkowicie bezsilna i upokorzona przy załatwianiu jakiejś sprawy urzędowej"
"dp31","Czy miejscowość, w której Pani mieszkała, gdy miała Pani 14 lat (proszę przekreślić kwadrat przy właściwej odpowiedzi):"
"dp32","Czy głosowała Pani w ostatnich wyborach samorządowych w 2006 roku?"
"dp33","Czy używa Pani telefonu komórkowego?"
"dp34","Podjęła Pani lepiej płatną lub dodatkową pracę"
"dp35","Zainwestowała Pani jakieś pieniądze w produkcję, handel lub usługi"
"dp36","Zarobiła Pani pieniądze na akcjach, obligacjach lub jednostkach uczestnictwa w jakimś funduszu"
"dp37","Zdobyła Pani nowe kwalifikacje lub umiejętności z myślą o możliwości lepszych zarobków"
"dp38","Jak ocenia Pani materialny poziom swego obecnego życia:"
"dp39","Biorąc wszystko razem pod uwagę, jak oceniłaby Pani swoje życie w tych dniach - czy mogłaby Pani powiedzieć, że jest"
"dp40_1","opłacanych przez Narodowy Fundusz Zdrowia"
"dp40_2","opłacanych z własnej kieszeni"
"dp40_3","opłacanych przez pracodawcę, który wykupił abonament"
"dp41","Jak często w minionych miesiącach zdarzało się Pani być tak załamaną, że myślała Pani o samobójstwie?"
"dp42","Czy czuje się Pani kochana i darzona zaufaniem?"
"dp43","Jak często przeciętnie w ciągu miesiąca bierze Pani udział w nabożeństwach lub innych spotkaniach o charakterze religijnym?"
"dp44","Ile osób zalicza Pani do grona swoich przyjaciół ?"
